# Colour mapping wheel 0.3.
#
# The mapping, and nothing else: which three colours stand for a hue.
#
# Generated by `wheel.py --reference` from wheel.tsv. Do not edit by
# hand -- edit wheel.tsv and regenerate, or the wheel and the table
# will disagree and only one of them is being looked at.
#
# **Indexed by the draw, not by the hue.** The number to look up is the
# raw 28 bits from the digest as degrees -- `hexval(h[-7:]) / 0xfffffff
# * 360` -- before any mapping version's colour rule touches it.
# Under version 0.3 the hue is that value warped, so the two are
# different numbers, and indexing by the wrong one silently shifts
# every triple around the blue-greens. The ring these rows come from
# is placed in the same coordinate, which is why they agree.
#
# Rows tile 0 to 360 with no gap and no overlap: the row to use is the
# one where `from <= draw < to`, and there is always exactly one.
#
# The colours are given inner to outer, already in the order they are
# to be shown. Arrangement and square-versus-circle are a separate
# channel and are not in this file. 63 blocks.
#
# from	to	n	one	two	three	mark   (from/to are draw, not hue)
0.0	2.0	63	orange	purple	brown	🟧🟪🟫
2.0	10.0	1	red	orange	purple	🟥🟧🟪
10.0	14.0	2	orange	orange	purple	🟧🟧🟪
14.0	22.0	3	red	black	white	🟥⬛⬜
22.0	30.0	4	red	brown	white	🟥🟫⬜
30.0	34.0	5	red	red	black	🟥🟥⬛
34.0	35.0	6	red	red	red	🟥🟥🟥
35.0	39.0	7	red	red	brown	🟥🟥🟫
39.0	43.0	8	red	brown	brown	🟥🟫🟫
43.0	47.0	9	red	red	orange	🟥🟥🟧
47.0	55.0	10	red	orange	black	🟥🟧⬛
55.0	63.0	11	red	orange	brown	🟥🟧🟫
63.0	67.0	12	red	orange	orange	🟥🟧🟧
67.0	71.0	13	red	red	yellow	🟥🟥🟨
71.0	75.0	14	orange	orange	black	🟧🟧⬛
75.0	83.0	15	red	yellow	brown	🟥🟨🟫
83.0	91.0	16	orange	yellow	brown	🟧🟨🟫
91.0	99.0	17	orange	yellow	black	🟧🟨⬛
99.0	107.0	18	yellow	brown	black	🟨🟫⬛
107.0	111.0	19	orange	yellow	yellow	🟧🟨🟨
111.0	115.0	20	yellow	yellow	brown	🟨🟨🟫
115.0	119.0	21	yellow	yellow	black	🟨🟨⬛
119.0	127.0	22	orange	yellow	green	🟧🟨🟩
127.0	135.0	23	orange	green	black	🟧🟩⬛
135.0	143.0	24	yellow	green	brown	🟨🟩🟫
143.0	151.0	25	yellow	green	white	🟨🟩⬜
151.0	159.0	26	yellow	green	black	🟨🟩⬛
159.0	163.0	27	green	brown	brown	🟩🟫🟫
163.0	167.0	28	orange	green	green	🟧🟩🟩
167.0	171.0	29	yellow	green	green	🟨🟩🟩
171.0	179.0	30	green	brown	black	🟩🟫⬛
179.0	183.0	31	green	green	brown	🟩🟩🟫
183.0	187.0	32	green	green	black	🟩🟩⬛
187.0	188.0	33	green	green	green	🟩🟩🟩
188.0	192.0	34	green	green	white	🟩🟩⬜
192.0	200.0	35	green	black	white	🟩⬛⬜
200.0	204.0	36	green	green	blue	🟩🟩🟦
204.0	212.0	37	green	blue	black	🟩🟦⬛
212.0	220.0	38	green	blue	brown	🟩🟦🟫
220.0	228.0	39	green	blue	white	🟩🟦⬜
228.0	232.0	40	green	blue	blue	🟩🟦🟦
232.0	233.0	41	blue	blue	blue	🟦🟦🟦
233.0	237.0	42	blue	blue	black	🟦🟦⬛
237.0	245.0	43	blue	black	white	🟦⬛⬜
245.0	249.0	44	blue	blue	purple	🟦🟦🟪
249.0	257.0	45	blue	purple	black	🟦🟪⬛
257.0	265.0	46	blue	purple	white	🟦🟪⬜
265.0	269.0	47	blue	purple	purple	🟦🟪🟪
269.0	277.0	48	blue	purple	brown	🟦🟪🟫
277.0	281.0	49	red	blue	blue	🟥🟦🟦
281.0	289.0	50	purple	black	white	🟪⬛⬜
289.0	290.0	51	purple	purple	purple	🟪🟪🟪
290.0	294.0	52	purple	purple	black	🟪🟪⬛
294.0	298.0	53	purple	purple	brown	🟪🟪🟫
298.0	306.0	54	red	blue	purple	🟥🟦🟪
306.0	314.0	55	purple	brown	white	🟪🟫⬜
314.0	318.0	56	red	purple	purple	🟥🟪🟪
318.0	322.0	57	purple	brown	brown	🟪🟫🟫
322.0	330.0	58	red	blue	brown	🟥🟦🟫
330.0	338.0	59	red	purple	black	🟥🟪⬛
338.0	346.0	60	red	purple	brown	🟥🟪🟫
346.0	350.0	61	red	red	blue	🟥🟥🟦
350.0	354.0	62	red	red	purple	🟥🟥🟪
354.0	360.0	63	orange	purple	brown	🟧🟪🟫
